<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20180302;0;273;46008780
SBER;D;20180305;0;277;34090490
SBER;D;20180306;0;274.03;40549160
SBER;D;20180307;0;274;49951810
SBER;D;20180309;0;274.6;26306900
SBER;D;20180312;0;274.3;23683510
SBER;D;20180313;0;273.95;34624050
SBER;D;20180314;0;262.5;61740760
SBER;D;20180315;0;254.51;77948620
SBER;D;20180316;0;256.15;91829180
SBER;D;20180319;0;255;42444330
SBER;D;20180320;0;257.15;62915590
SBER;D;20180321;0;268.88;69873420
SBER;D;20180322;0;265.5;55515720
SBER;D;20180323;0;262;45451970
SBER;D;20180326;0;255;56781030
SBER;D;20180327;0;258;45103320
SBER;D;20180328;0;251.5;43708220
SBER;D;20180329;0;252.9;33595950
SBER;D;20180330;0;253.57;10854540
SBER;D;20180402;0;249.99;35423370
SBER;D;20180403;0;251.6;63712830
SBER;D;20180404;0;255.69;51988700
SBER;D;20180405;0;262;52541810
SBER;D;20180406;0;256.76;40147790
SBER;D;20180409;0;213;249893540
SBER;D;20180410;0;215.48;242110550
SBER;D;20180411;0;208;185548360
SBER;D;20180412;0;212.21;126646690
SBER;D;20180413;0;204.7;106807820
SBER;D;20180416;0;192.06;199130330
SBER;D;20180417;0;207.5;168916840
SBER;D;20180418;0;215.87;173838350
SBER;D;20180419;0;213.45;133397880
SBER;D;20180420;0;215.36;57747950
SBER;D;20180423;0;223.25;116819360
SBER;D;20180424;0;223;83740550
SBER;D;20180425;0;220.45;69521980
SBER;D;20180426;0;220.7;73144200
SBER;D;20180427;0;223.91;81902940
SBER;D;20180428;0;224.8;10305690
SBER;D;20180430;0;226.99;39339460
SBER;D;20180502;0;229.02;39843120
SBER;D;20180503;0;228.03;79557540
SBER;D;20180504;0;228.55;48071660
SBER;D;20180507;0;229.86;37180430
